labels
"Finger,Skin,Hand,Nail,Thumb,Gesture,"
"Reflection,Light,Urban area,Snapshot,Night,Metropolitan area,Water,Metropolis,Architecture,Glass,"
"Blue,"
"Hot air ballooning,Hot air balloon,Balloon,Sky,Vehicle,Air sports,Recreation,Aircraft,Games,Landscape,"
"People in nature,Nature,Leaf,Tree,Sky,Red,Light,Natural landscape,Orange,Autumn,"
"Brush,Cosmetics,Face,Makeup brushes,Product,Material property,Face powder,"
"Footwear,White,Pink,Human leg,Leg,Ankle,Shoe,Joint,Calf,Sock,"
"Racket,Tennis,Tennis racket,Tennis Equipment,Strings,Tennis racket accessory,Soft tennis,Racquet sport,Tennis player,Tennis court,"
"Abdomen,Skin,Beauty,Muscle,Model,Stomach,Trunk,Lingerie,Photography,Shoulder,"
"Golf ball,Ball,Ball game,Sport venue,Grass,Sports equipment,Golf equipment,Golf course,Golf,Soccer ball,"
"Building,Lobby,Shopping mall,Mixed-use,Architecture,Ceiling,Interior design,Real estate,Hotel,Commercial building,"
"Clothes hanger,Outerwear,Jacket,Peach,"
"Hair,Face,Chin,Nose,Hairstyle,Head,Cheek,Beauty,Eyebrow,Lip,"
"Paper,Paper product,Wood,Envelope,"
"Yellow,Male,Fashion,Human,Outerwear,Street fashion,Headgear,Tree,Smile,Vacation,"
"Gun,Pink,Product,Water gun,Firearm,Trigger,Fictional character,"
"Sportswear,Dance,Leg,Physical fitness,Pole dance,Thigh,Footwear,Performing arts,Stretching,Pilates,"
"Graduation,Academic dress,Event,Mortarboard,Scholar,Community,Public event,College,Friendship,Interaction,"
"Physical fitness,Stretching,Yoga,Joint,Sports,Balance,Individual sports,Fun,Vacation,Pilates,"
"Sports,Baseball player,Sport venue,Baseball equipment,Bat-and-ball games,Baseball uniform,College baseball,Player,Team sport,Baseball field,"
"Sports,Individual sports,Sport venue,Recreation,Sports equipment,Tennis court,Joint,Tennis,Footwear,Sports training,"
"Sky,Air travel,Window,Atmosphere,Horizon,Wing,Photography,Airline,"
"Weights,Exercise equipment,Dumbbell,Arm,Muscle,Physical fitness,Shoulder,Joint,Sports equipment,Wrist,"
"Flame,Light,Lighting,Heat,Darkness,Sky,Fire,Still life photography,Geological phenomenon,Atmosphere,"
"Thigh,Muscle,Beauty,Leg,Sitting,Model,Physical fitness,Sportswear,Human leg,Arm,"
"Bicycle,White,Black,Black-and-white,Vehicle,Cycling,Monochrome,Cycle sport,Sky,Tree,"
"Tree,Trail,Recreation,Sportswear,Autumn,Footwear,Photography,Forest,Jacket,Soil,"
"Pink,Lipstick,Cosmetics,Red,Violet,Magenta,Orange,Beauty,Purple,Tints and shades,"
"Bag,Leather,Handbag,Fashion accessory,Satchel,Messenger bag,Baggage,Beige,Jacket,Luggage and bags,"
"Shopping,Footwear,Supermarket,Leg,Retail,Thigh,Jeans,Sitting,Convenience store,Shoe,"
"Footwear,Pink,Magenta,Shoe,Outdoor shoe,Carmine,Athletic shoe,"
"Technology,Electronic device,"
"Shopping cart,Supermarket,Major appliance,Dishwasher,"
"Text,Writing instrument accessory,Writing,Hand,Font,Finger,Handwriting,Nail,Paper,Homework,"
"Hair,Yellow,Beauty,Headpiece,Leaf,Lip,Headgear,Autumn,sunflower,Plant,"
"Urban area,Town,Street,Neighbourhood,Pedestrian,Downtown,Snapshot,Human settlement,Public space,City,"
"Mehndi,Green,Lady,Pattern,Beauty,Design,Photo shoot,Textile,Long hair,Visual arts,"
"Cat,Mammal,Vertebrate,Felidae,Small to medium-sized cats,Whiskers,Carnivore,Kitten,American shorthair,Asian,"
"Face,Hair,Purple,Pink,Head,Eyebrow,Lip,Beauty,Nose,Skin,"
"Cosmetics,Mascara,Eyelash,Beauty,Eyebrow,Eye,Material property,Eyelash extensions,"
"Light,Darkness,Night,Water,Circle,Sky,Line,Technology,Space,Stock photography,"
"Sports,Gridiron football,Helmet,American football,Sports gear,Football gear,Team sport,Sprint football,Ball game,Football equipment,"
"Book,Publication,Carpet,Furniture,Bookcase,Textile,Book cover,"
"Building,Airport terminal,Infrastructure,Shopping mall,Airport,Event,Pedestrian,City,"
"Shuttlecock,Badminton,Racquet sport,Grass,Speed badminton,Ball badminton,Sports equipment,Net,Soft tennis,Tennis,"
"Text,Book,Font,Material property,Publication,Wood,Collection,"
"Human leg,Barbell,Leg,Physical fitness,Deadlift,Powerlifting,Weight training,Weightlifting,Strength training,Bodypump,"
"Physical fitness,Arm,Flip (acrobatic),Sky,Yoga,Muscle,Hand,Barechested,Photography,Stretching,"
"Hair,Face,Photograph,People,Beauty,Lady,Street fashion,Shoulder,Skin,Snapshot,"
"Swing,Water,Jungle,Water resources,Leisure,Fun,Vacation,Outdoor play equipment,Tree,Recreation,"
"Standing,Arm,Sportswear,Muscle,Leg,Physical fitness,Trousers,Photography,Barechested,yoga pant,"
"White,Pattern,Black-and-white,Monochrome photography,Monochrome,Design,Architecture,Photography,Stock photography,Transparent material,"
"Pink,Branch,Twig,Plant,Flower,Fashion accessory,"
"Architecture,Sky,Pavilion,Tourism,Vacation,Leisure,Building,Tourist attraction,City,Roof,"
"Event,Audience,Youth,Job,Student,Academic conference,Convention,Meeting,Crowd,Conversation,"
"Blue,Red,Light,Reflection,Water,Night,Sky,Street,Tints and shades,City,"
"Headgear,Street fashion,Photography,"
"Face,Hair,Lip,Beauty,Eyebrow,Skin,Pink,Head,Lady,Light,"
"Green,Face,Head,Photography,Portrait,Black hair,Plant,"
"Sky,Nature,Horizon,Evening,Cloud,Sunset,Morning,Water,Dusk,Sunrise,"
"Eyewear,Hair,Face,Glasses,Cool,Hairstyle,Hair coloring,Red,Red hair,Beauty,"
"Photograph,Arch,Architecture,Column,Mosque,Building,Photography,Stock photography,Tourism,Vacation,"
"Bridge,Boardwalk,Walkway,Nonbuilding structure,Pedestrian,Handrail,Photography,Pier,Skyway,Guard rail,"
"Product,Triangle,Triangle,Furniture,Table,Metal,"
"Hair,Face,Red,Red hair,Hair coloring,Eyebrow,Beauty,Hairstyle,Lip,Forehead,"
"Black,Wall,Black-and-white,Monochrome,Line,Column,Monochrome photography,Architecture,Photography,Stock photography,"
"Orange,Font,Fashion accessory,Chain,Metal,"
"Yellow,Branch,Wall,Twig,Textile,Leaf,Line,Tree,Plant,Pattern,"
"Building,Architecture,Symmetry,Iron,Metropolis,City,Aisle,Metal,Arcade,Ceiling,"
"Gun,Firearm,Water gun,Product,Trigger,Revolver,Laser guns,Gun barrel,"

"People,Turban,Fun,Headgear,Smile,Photography,Tradition,Happy,"
"Photography,"
"Cat,Mammal,Vertebrate,Small to medium-sized cats,Felidae,Whiskers,Carnivore,European shorthair,Kitten,Tabby cat,"
"Architecture,Urban area,Metropolitan area,Snapshot,Building,Street,Night,Sky,City,Pedestrian,"
"Eye shadow,Eye,Cosmetics,Beauty,Organ,Human body,Material property,Still life photography,Face powder,"
"Market,City,"
"Hat,Fedora,Male,Gentleman,Cool,Cowboy hat,Headgear,Fashion accessory,Photography,Cowboy,"
"Sky,Cloud,Sitting,Horizon,Morning,Photography,Atmosphere,Sunlight,Landscape,Evening,"
"Reflection,Nature,Green,Landmark,Sky,Water,Natural landscape,Reflecting pool,Architecture,Spire,"
"Blue,Water,Colorfulness,Orange,Red,Light,Yellow,Circle,Sky,Ceiling,"
"Smartphone,Gadget,Mobile phone,Communication Device,Hand,Street fashion,Technology,Electronic device,Portable communications device,Finger,"
"Arm,Hand,Wrist,Glasses,Reading,Calligraphy,"
"Denim,Jeans,Footwear,Street fashion,Road surface,Shoe,Textile,Asphalt,Hand luggage,Fashion accessory,"
"Mountainous landforms,Mountain,Mountaineer,Adventure,Mountaineering,Ridge,Mountain range,Backpacking,Outdoor recreation,Geological phenomenon,"
"Cosmetics,Lipstick,Red,Beauty,Pink,Material property,Gloss,Tints and shades,Lip gloss,Still life photography,"
"Photographic film,White,Photograph,Text,Black-and-white,Notebook,Font,Monochrome,Photography,Line,"
"Product,Room,Table,Wood,Interior design,Plant,Dining room,Flower,Furniture,"
"Leg,Footwear,Fashion,Jeans,Shoe,Design,Fun,Hand,Human leg,Fashion accessory,"
"Sky,Landmark,Cloud,Snapshot,Horizon,Tree,Monument,Sunset,Rock,Architecture,"
"Strength training,Physical fitness,Barbell,Powerlifting,Weightlifting,Squat,Bodypump,Weightlifter,Deadlift,Weight training,"
"Hair,Eyewear,Face,Glasses,Blond,Hairstyle,Beauty,Lip,Eyebrow,Chin,"
"Text,Pink,Magenta,Paper product,Font,Paper,Graphic design,Notebook,Brand,Logo,"
"Footwear,White,Pink,Human leg,Leg,Ankle,Shoe,Joint,Calf,Sock,"
"Hair,Hairstyle,Hair coloring,Long hair,Beauty,Blond,Layered hair,Step cutting,Brown hair,Neck,"
"Snapshot,Font,Art,"
"Weightlifter,Barbell,Physical fitness,Weightlifting,Weight training,Powerlifting,Strength training,Deadlift,Shoulder,Chin,"
"Pink,Garden roses,Petal,Flower,Red,Rose,Plant,Rose family,Magenta,Close-up,"
"Water,Ocean,Physical fitness,Sea,Acrobatics,Wave,Vacation,Fun,Flip (acrobatic),Beach,"
"Sky,Sunset,Water,Sea,Horizon,Cloud,Fishing,Fisherman,Morning,Ocean,"
"Job,Learning,Student,Room,Classroom,Education,Course,Class,Employment,School,"
"Learning,Job,Technology,Electronic device,Software engineering,Hand,Website,Gadget,Collaboration,Student,"
"Vehicle,Motor vehicle,Yellow,Tree,Mode of transport,Car,Automotive exterior,Vehicle door,Automotive window part,Plant,"
"Leg,Photography,Sitting,Black-and-white,Muscle,Art model,Monochrome,Back,Art,"
"Eyewear,Photograph,Beauty,Glasses,Vacation,Black hair,Travel,Summer,Photography,Smile,"
"Face,Head,Forehead,Human,Neck,Body piercing,Flesh,Colorfulness,"
"Water,Drop,Sky,Reflection,Liquid,Calm,Moisture,Rain,Photography,Space,"
"Beauty,Sitting,Shoulder,Fashion,Leg,Photo shoot,Photography,Dress,Happy,Fashion accessory,"
"Sky,Room,Bedroom,Sea,Furniture,Bed,Window,Horizon,Ocean,House,"
"Red,Colorfulness,Yellow,Line,Tints and shades,Pattern,Wood,Visual arts,"
"Footwear,Shoe,Brown,Tan,Dress shoe,Leather,Oxford shoe,Still life,Room,Still life photography,"
"Vehicle,Cycle sport,Bicycle,Downhill mountain biking,Cycling,Mountain bike,Mountain biking,Extreme sport,Mountain bike racing,Soil,"
"Water,Running,Jogging,Recreation,Fun,Sea,Exercise,"
"Academic dress,Graduation,Mortarboard,Scholar,Beauty,Smile,Happy,Photography,Sky,Headgear,"
"Adventure,Sport climbing,Outdoor recreation,Rock climbing,Recreation,Rock,Klippe,Rock-climbing equipment,Climbing,Extreme sport,"
"Glass bottle,Collection,Bottle,Shelf,Furniture,"
"Food,Fast food,Cuisine,Dish,Sandwich,Finger food,Vegetarian food,Submarine sandwich,Ingredient,Bánh mì,"
"Eyewear,Job,Technology,Vision care,Electronic device,Glasses,"
"Shopping cart,Cart,Product,Vehicle,Design,Shopping,Furniture,Illustration,"
"Eye,Face,Iris,Eyelash,Close-up,Skin,Eyebrow,Organ,Nose,Head,"
"Sky,Horizon,Natural environment,Sunset,Cloud,Sand,Natural landscape,Dusk,Evening,Desert,"
"Sky,Road,Blue,Highland,Asphalt,Cloud,Mountain,Mountainous landforms,Road surface,Wilderness,"
"Book,Bookcase,Shelf,Publication,Library,Shelving,Bookselling,Text,Furniture,Building,"
"Paper product,Folder,Paper,"
"Building,Interior design,Room,Furniture,Loft,Architecture,Table,Café,Coffeehouse,Living room,"
"Shoulder,Clothing,Beauty,Skin,Lady,Snapshot,Photo shoot,Fashion,Model,Leg,"
"Physical fitness,Human leg,Strength training,Weight training,Deadlift,Barbell,Exercise equipment,Weightlifting,Strength athletics,Powerlifting,"
"Green,Beauty,Blond,Cool,Long hair,Fashion,Photo shoot,Brown hair,Textile,Supermarket,"
"Standing,Arm,Shoulder,Male,Barechested,Sportswear,Muscle,Joint,Leg,Chest,"
"Photograph,Beauty,Beach,Vacation,Summer,Skin,Undergarment,Sand,Model,Leg,"
"Child,Snapshot,Toddler,Sitting,Smile,Photography,"
"Turquoise,Pattern,Water,Colorfulness,Illustration,Design,Circle,Art,Graphic design,"
"Urban area,Metropolis,Building,City,Human settlement,Metropolitan area,Downtown,Night,Bazaar,Retail,"
"Face,Hair,Forehead,Eyebrow,Chin,Cheek,Head,Nose,Hairstyle,Male,"
"Brown,Text,Beige,Paper,"
"Headgear,Photography,Vacation,Fashion accessory,Street fashion,Hat,"
"Blue,Sky,Recreation,Architecture,Extreme sport,Vacation,"
"Sky,Atmospheric phenomenon,Cloud,Tree,Architecture,Road,Line,Atmosphere,Infrastructure,Thoroughfare,"
"Blond,"
"Sportswear,Arm,Beauty,Shoulder,Undergarment,Photo shoot,Leg,Model,Photography,Thigh,"
"Yoga,Physical fitness,Meditation,Sitting,Room,Floor,Flooring,Yoga mat,"
"Green,Yellow,Orange,Line,Pattern,Violet,Colorfulness,Magenta,Textile,Tints and shades,"
"Swimming pool,Property,Town,Resort,Human settlement,Resort town,Vacation,Tourism,Building,Real estate,"
"Shoulder,Muscle,Arm,Physical fitness,Bodybuilding,Chest,Joint,Weight training,Bodybuilder,Strength training,"
"Hot air ballooning,Hot air balloon,Sky,Balloon,Cloud,Vehicle,Atmosphere,Air sports,Geology,Horizon,"
"Modern art,Painting,Art,Acrylic paint,Visual arts,Watercolor paint,Paint,Horizon,Artwork,"
"Wave,Sea,Wind wave,Sky,Ocean,Surface water sports,Coast,Sound,Geological phenomenon,Surfing,"
"Supermarket,Shopping cart,Aisle,Retail,Building,Product,Grocery store,Convenience store,Vehicle,Cart,"
"Product,Jeans,White-collar worker,Glasses,Tourism,"
"Skimboarding,Water,Sky,Surfing,Wave,Surfboard,Reflection,Sea,Surfing Equipment,Ocean,"
"Beanie,Beauty,Footwear,Sitting,Yellow,Fashion,Leg,Cool,Headgear,Cap,"
"Street fashion,Clothing,Fashion,Sportswear,Footwear,Cool,Jeans,Photography,Leg,Muscle,"
"Brush,Makeup brushes,Watercolor paint,Painting,Paint,Tool,"
"Sky,People in nature,Photograph,Horizon,Sunset,Silhouette,Natural landscape,Cloud,Morning,Photography,"
"Barbell,Exercise equipment,Physical fitness,Weightlifting,Weight training,Exercise,Powerlifting,Weights,Tire,Dumbbell,"
"Games,Pattern,Darts,Circle,Symmetry,Recreation,Indoor games and sports,Spoke,"
"Brown,Wall,Floor,Line,Flooring,Beige,Tile,Pattern,Concrete,Rectangle,"
"People in nature,Hair,Nature,Photograph,Green,Beauty,Blond,Tree,Lady,Leaf,"
"Performance,Physical fitness,Acrobatics,Performance art,Fun,Leg,Yoga,Dance,Performing arts,Tourism,"
"Hair dryer,Home appliance,"
"Face,Hair,Skin,Eyebrow,Nose,Cheek,Lip,Chin,Beauty,Head,"
"Aqua,Turquoise,Pattern,Teal,Design,Textile,Turquoise,"
"Black,Dance,B-boy,Black-and-white,Performing arts,Acrobatics,Monochrome,Performance,B-boying,Physical fitness,"
"Recreation,Human leg,Athlete,Running,Leg,Thigh,Individual sports,Exercise,Jogging,Muscle,"
"Horse,Bridle,Animal sports,Sports,Rein,Polo,Halter,Stick and Ball Sports,Stick and Ball Games,Equestrian sport,"
"Water,Vacation,Muscle,Recreation,Summer,Arm,Open water swimming,Cool,Goggles,Headgear,"
"Electronics,Technology,Electronic device,Hand,Learning,Multimedia,Gadget,Display device,Engineering,"
"Face,Head,Lip,Beauty,Forehead,Nose,Chin,Eyelash,Headgear,Flesh,"
"Lady,Beauty,Red hair,Lip,Photography,Portrait,Long hair,Smile,Flash photography,"
"Green,Face,Hair,Cool,Head,Beauty,Lady,Hairstyle,Fashion,Photo shoot,"
"Library,Public library,Bookselling,Bookcase,Reading,Building,Retail,Publication,Book,Furniture,"
"Bouquet,Pink,Flower,Cut flowers,Rose,Floristry,Flower Arranging,Plant,Garden roses,Rose family,"
"Desk,Computer keyboard,Font,Technology,Space bar,Table,Electronic device,Furniture,"
"Metropolitan area,City,Building,Urban area,Condominium,Human settlement,Mixed-use,Architecture,Property,Tower block,"
"Blue,Purple,Red,Pink,Violet,Magenta,Modern art,Acrylic paint,Water,Colorfulness,"
"Hair,Face,Blond,Hairstyle,Eyebrow,Beauty,Chin,Shoulder,Eyewear,Long hair,"
"Product,"
"Rope,Performance,Leg,Aerialist,Acrobatics,Performing arts,"
"Sitting,Desk,Furniture,Room,White-collar worker,Office,Plant,Job,"
"Sport venue,Contact sport,Striking combat sports,Boxing ring,Kickboxing,Sports,Combat sport,Sports equipment,Muay thai,Boxing,"
"Macaroon,Pink,Heart,Still life photography,"
"Snapshot,Mascot,Street,Bear,Crowd,Fur,City,Tourism,Art,"
"Land vehicle,Motor vehicle,Vehicle,Transport,Mode of transport,Car,Tree,Commercial vehicle,Plant,Soil,"
"Cloud,Sky,Pink,Cumulus,Atmospheric phenomenon,Cotton candy,Meteorological phenomenon,"
"Light,Blue,Landmark,Tourist attraction,Line,Lighting,Night,Electricity,Electric blue,Sky,"
"Job,Interior design,Office,White-collar worker,Collaboration,Conversation,Design,Employment,Businessperson,Room,"
"Illustration,Canyon,Cg artwork,Graphics,Art,"
"Swiss ball,Ball,Physical fitness,Exercise equipment,Pilates,Arm,Medicine ball,Exercise,Stock photography,Ball (rhythmic gymnastics),"
"Photograph,Beach,Vacation,Coast,Tropics,Yellow,Honeymoon,Sea,Tourism,Sky,"
"Road,Nature,Natural landscape,Atmospheric phenomenon,Asphalt,Sky,Morning,Road surface,Thoroughfare,Infrastructure,"
"Reading,Hand,Wood,Photography,Wallet,"
"Sky,Cycle sport,Bicycle,Cycling,Leaf,Mountain bike,Autumn,Wilderness,Vehicle,Tree,"
"Face,Blue,Head,Light,Skull,Smoking,Human,Darkness,Jaw,Mouth,"
"Book,Line,Font,Architecture,Still life photography,Publication,Furniture,"
"People in nature,Beauty,Leg,Grass,Physical fitness,Human leg,Photography,Joint,Muscle,Sportswear,"
"Highland,Mountainous landforms,Mountain,Sky,Hill,Fell,Natural environment,Wilderness,Atmospheric phenomenon,Tundra,"
"Land vehicle,Bicycle,Vehicle,Bicycle wheel,Cycling,Bicycle frame,Bicycle part,Bicycle accessory,Bicycle handlebar,Bicycle fork,"
"Turban,Dastar,Clothing,Wrinkle,Headgear,Cap,"
"Sportswear,Shoulder,Clothing,Abdomen,Physical fitness,Arm,Leg,Active pants,Thigh,Pink,"
"Face,Head,Darkness,Skin,Human,Photography,Fictional character,Facial hair,Portrait,Portrait photography,"
"Physical fitness,Shoulder,Gym,Muscle,Bodybuilding,Arm,Weight training,Barechested,Room,Joint,"
"People in nature,Tree,Beauty,Lady,Branch,Photo shoot,Blond,Photography,Long hair,Plant,"
"Skin,Reading,Black hair,Leisure,Cash,Eyelash,"
"Bicycle,Vehicle,Cycling,Bicycle wheel,Road bicycle,Recreation,Bicycle part,Bicycle handlebar,Sand,Bicycle frame,"
"Land vehicle,Vehicle,Car,Red,Mode of transport,Automotive design,Subcompact car,Street,Compact car,Mid-size car,"
"Black,White,Photograph,Face,Monochrome photography,Black-and-white,Darkness,Monochrome,Arm,Head,"
"Clothing,Undergarment,Sports bra,Red,Sportswear,Pink,Spandex,Undergarment,Abdomen,Active pants,"
"Landmark,Sky,Tower,Architecture,Tree,Tourism,Building,Church,Cloud,Spire,"
"Gadget,Technology,Electronic device,Smartphone,Games,Electronics,Communication Device,Portable communications device,Mobile phone,"
"Horse,Equestrianism,Bridle,English riding,Rein,Animal sports,Mammal,Show jumping,Eventing,Halter,"
"Water,Light,Electric blue,Pattern,Design,Sky,Organism,Architecture,Symmetry,Space,"
"Underwater,Aqua,Water,Turquoise,Azure,Recreation,Fun,Leisure,Swimming pool,Swimming,"
"Urban area,Traffic,Street,Vehicle,Metropolis,City,Metropolitan area,Pedestrian,Car,Road,"
"Snapshot,Sitting,Photography,"
"Sports,Field hockey,Team sport,Ball game,Stick and Ball Games,Player,Hockey,Lady,Sports equipment,Grass,"
"Hand,Diaper bag,Textile,Child,Pattern,"
"Flat white,Caffè macchiato,Ristretto,Latte,Cortado,Coffee cup,Single-origin coffee,Espresso,Cup,Coffee,"
"Sport venue,Art,Stage,Games,Mural,Stadium,World,Leisure,"
"Sky,Natural landscape,Tree,Screenshot,Highland,Adventure game,Cloud,Sunlight,Landscape,Road,"
"Bicycle wheel,Bicycle,Bicycle accessory,Light,Snapshot,Night,Vehicle,Mode of transport,Bicycle part,Street,"
"Acrobatics,Performance,Arm,Leg,Flip (acrobatic),Balance,Physical fitness,Performing arts,Calisthenics,Dance,"
"Athletic dance move,Leotard,Sportswear,Shoulder,Dance,Ballet,Arm,Ballet dancer,Leg,Choreography,"
"Sports,Motorsport,Motorcycle racer,Race track,Grand prix motorcycle racing,Racing,Road racing,Vehicle,Endurance racing (motorsport),Superbike racing,"
"Footwear,Shoe,White,Orange,Sneakers,Walking shoe,Carmine,Sportswear,Athletic shoe,Basketball shoe,"
"Text,Font,Number,Symbol,Icing,Colorfulness,Royal icing,Snack,Food,"
"People,Black-and-white,Market,Public space,Crowd,Bazaar,Monochrome,City,Marketplace,Human settlement,"
"Clothing,Undergarment,Brassiere,Beauty,Skin,Model,Stomach,Lady,Blond,Photo shoot,"
"Face,Hair,Eyebrow,Lip,Blue,Beauty,Nose,Skin,Cheek,Hairstyle,"
"Physical fitness,Leg,Joint,Shoulder,Stretching,Athletic dance move,Yoga,Dance,Arm,Balance,"
"Wilderness,Adventure,Rock,Mountain,Travel,Backpacking,Hiking equipment,Recreation,Hiking,Tourism,"
"Cycling,Cycle sport,Bicycle,Sky,Outdoor recreation,Vehicle,Endurance sports,Recreation,Bicycle helmet,Cross-country cycling,"
"Vegetation,Sky,Blue,Sea,Turquoise,Coastal and oceanic landforms,Azure,Ocean,Tropics,Coast,"
"Land vehicle,Cycling,Vehicle,Bicycle,Cycle sport,Bicycle frame,Endurance sports,Road cycling,Bicycle accessory,Cross-country cycling,"
"Soccer ball,Football,Ball,Pallone,Soccer,Sports equipment,Ball,"
"Wood,Placemat,Spoon,Textile,Table,Tableware,Drink,Glasses,Brunch,Food,"
"Wilderness,Grass,Photography,Recreation,Landscape,Plant,Adventure,Hill,Meadow,"
"Hair,Facial hair,Face,Beard,Forehead,Chin,Hairstyle,Eyebrow,Moustache,Male,"
"Dome,Landmark,Dome,Holy places,Architecture,Building,Basilica,Byzantine architecture,City,Roof,"
"Turquoise,Teal,Photography,Leisure,"
"Standing,Net,Player,Paddle tennis,Sports training,Sport venue,"
"Hand,Writing instrument accessory,"
"Room,Furniture,Property,Table,Interior design,Building,Sea,Vacation,House,Door,"
"Face,Black,Darkness,Blue,Head,Light,Lip,Eye,Human,Photography,"
"Town,Snapshot,Street,Fashion,Urban area,Building,Pedestrian,Outerwear,Street fashion,City,"
"Natural foods,Market,Marketplace,Selling,Whole food,Bazaar,Local food,Public space,Human settlement,City,"
"Text,Font,Number,"
"Cat,Small to medium-sized cats,Felidae,Tabby cat,Whiskers,Kitten,Carnivore,European shorthair,Domestic short-haired cat,Bowl,"
"Abdomen,Waist,Stomach,Tape measure,Trunk,Navel,Hand,Organ,Human body,Black-and-white,"
"Transport,Wood,Scale model,Vehicle,Metal,"
"Brush,Cosmetics,Product,Makeup brushes,Eye,Eye shadow,Material property,Face powder,Makeup artist,"
"Pink,Button,Purple,Circle,Fashion accessory,Pencil,Glass,Art,"
"Water,Blue,Aqua,Test tube,Transparent material,Graduated cylinder,Chemistry,Turquoise,Laboratory equipment,Solution,"
